연 번,항 명,주 소,비 고
38,남양항,경상북도 울릉군 서면 울릉순환로 1310,
39,외포항,경상남도 거제시 장목면 외포5길 62,
40,능포항,경상남도거제시능포로16길21 ,
41,지세포항,경상남도 거제시 일운면 지세포해안로 91,
42,구조라항,경상남도 거제시 일운면 구조라로 49,
43,다대다포항,경상남도 거제시 남부면 다대5길 46-1,
44,대포근포항,경상남도 거제시 남부면 대포길 77,
45,장목항,경상남도 거제시 장목면 장목7길 21-1,
46,광암항,경상남도창원시마산합포구진동면해양관광로164-22 ,
47,원전항,경상남도창원시마산합포구구산면이순신로734 ,
48,맥전포항,경상남도 고성군 하일면 춘암1길 130,
49,삼덕항,경상남도 통영시 산양읍 산양일주로 1553-20,
50,호두항,경상남도 통영시 한산면 호두2길 4-1,
51,능양항,경상남도 통영시 사량면 능양길 45,
52,욕지항,경상남도 통영시 욕지면 욕지일주로 53,
53,매물도항,경상남도통영시한산면당금길33 ,
54,신수항,경상남도사천시신수서길1-48 ,
55,물건항,경상남도 남해군 삼동면 동부대로1030번길 42-26,
56,미조항,경상남도 남해군 미조면 미조로 235,
57,남포항,경상남도 고성군 고성읍 공룡로 3070,
58,노량항,경상남도 하동군 금남면 노량해안길 16-1,
59,회진항,전라남도 장흥군 회진면 회진선창길 28,
60,녹동항,전라남도 고흥군 도양읍 목넘가는길 19,
61,풍남항,전라남도 고흥군 풍양면 천마로 1418-17,
62,발포항,전라남도 고흥군 도화면 충무사길 109,
63,여호항,전라남도 고흥군 점암면 여호해안길 81,
64,시산항,전라남도 고흥군 도양읍 시산석금길 26,
65,오천항,전라남도 고흥군 금산면 오천리 133-1,
66,국동항,전라남도 여수시 어항단지로 24,
67,낭도항,전라남도 여수시 화정면 여산길 79,
68,돌산항,전라남도 여수시 돌산읍 망월대길 14,
69,안도항,전라남도 여수시 남면 서고지길 16,
70,연도항(전남),전라남도 여수시 남면 연도길 300-6,
71,초도항,전라남도 여수시 삼산면 대동해안길 32,
72,계마항,전라남도 영광군 홍농읍 계마길 31-59,
73,안마항,전라남도 영광군 낙월면 안마길 17,
74,전장포항,전라남도 신안군 임자면 전장포길 908,
75,우이도항,전라남도 신안군 도초면 우이진리길 16,
76,가거도항,전라남도 신안군 흑산면 가거도길 1,
77,송도항,전라남도 신안군 지도읍 송도2길 66,
78,수품항,전라남도 진도군 의신면 수품길 67,
79,서망항,전라남도 진도군 임회면 서망항길 50-17,
80,서거차항,전라남도 진도군 조도면 서거차도리 210,
81,어란진항,전라남도 해남군 송지면 어란로 469,
82,마량항,전라남도 강진군 마량면 미항로 142,
83,득암항,전라남도 완도군 약산면 득암4번길 48-7,
84,사동항(전남),전라남도 완도군 금일읍 사동길 55-1,
85,도장항,전라남도 완도군 금일읍 화목장정길 267,
86,청산도항,전라남도 완도군 청산면 청산로 5,
87,소안항,전라남도 완도군 금일읍 사동길 55-1,
88,보옥항,전라남도 완도군 보길면 보길로 1172-43,
89,여서항,전라남도 완도군 청산면 여서도길 1-1,
90,이목항,전라남도 완도군 노화읍 노화로 891-31,
91,초평항,전라남도 진도군 의신면 초사리 509-7,
92,어청도항,전라북도 군산시 옥도면 어청도길 49-4,
93,연도항(전북),전라북도 군산시 옥도면 연도1길 1-2,
94,말도항,전라북도 군산시 옥도면 말도길 70,
95,개야도항,전라북도 군산시 옥도면 개야도길 7,
96,격포항,전라북도 부안군 변산면 격포항길 64-7,
97,위도항,전라북도 부안군 위도면 위도로 30,
98,구시포항,전라북도 고창군 상하면 구시포해변길 84,
99,삼길포항,충청남도 서산시 대산읍 삼길포1로 63,
100,모항항,충청남도 태안군 소원면 모항항길 122-42,
101,안흥항,충청남도 태안군 근흥면 안흥1길 36,
102,남당항,충청남도 홍성군 서부면 남당항로213번길 1,
103,오천항,충청남도 보령시 오천면 소성리 700-86,
104,외연도항,충청남도 보령시 오천면 외연도리 472-2,
105,홍원항,충청남도 서천군 서면 홍원길 130-7,
106,장고항,충청남도 당진시 석문면 장고항로 334,
107,무창포항,충남 보령시 웅천읍 열린바다2길 46,
108,궁평항,경기도 화성시 서신면 궁평항로 1049-24,
109,김녕항,제주특별자치도 제주시 구좌읍 구좌해안로 229-16,
110,도두항,제주특별자치도 제주시 도두항길 18,
111,신양항,제주특별자치도 제주시 추자면 추자로 576-4,
112,모슬포항,제주특별자치도 서귀포시 대정읍 하모항구로 30,
113,위미항,제주특별자치도 서귀포시 남원읍 위미중앙로196번길 6-13,
